ImageFile,Section,Song,Shazams,Previous,Last Update
jump.jpg,DEADLINE,JUMP,2201374,,07/03/2026
go.jpg,DEADLINE,GO,36661,,07/03/2026
deadline.jpg,DEADLINE,Me & My,9100,,07/03/2026
deadline.jpg,DEADLINE,Champion,14284,,07/03/2026
deadline.jpg,DEADLINE,Fxxxboy,4154,,07/03/2026
pinkvenom.jpg,BORN PINK,Pink Venom,1811226,1808405,07/03/2026
bornpink.jpg,BORN PINK,Shut Down,1077781,1076276,07/03/2026
bornpink.jpg,BORN PINK,Typa Girl,444932,444240,07/03/2026
bornpink.jpg,BORN PINK,Ready For Love,323193,322709,07/03/2026
bornpink.jpg,BORN PINK,Tally,286342,285961,07/03/2026
bornpink.jpg,BORN PINK,Hard To Love,170288,170017,07/03/2026
bornpink.jpg,BORN PINK,Yeah Yeah Yeah,164595,164184,07/03/2026
bornpink.jpg,BORN PINK,The Happiest Girl,144914,144650,07/03/2026
howyoulikethat.jpg,THE ALBUM,How You Like That,3776259,3773158,07/03/2026
icecream.jpg,THE ALBUM,Ice Cream - BLACKPINK & Selena Gomez,1600278,1598379,07/03/2026
thealbum.jpg,THE ALBUM,Lovesick Girls,1110620,1108727,07/03/2026
thealbum.jpg,THE ALBUM,Pretty Savage,835343,834276,07/03/2026
thealbum.jpg,THE ALBUM,Love To Hate Me,512194,511762,07/03/2026
thealbum.jpg,THE ALBUM,Crazy Over You,430242,429781,07/03/2026
thealbum.jpg,THE ALBUM,Bet You Wanna (feat. Cardi B),312405,312135,07/03/2026
thealbum.jpg,THE ALBUM,You Never Know,286972,286608,07/03/2026
killthislove.jpg,KILL THIS LOVE - EP,Kill This Love,3102067,3100170,07/03/2026
killthislove.jpg,KILL THIS LOVE - EP,Don't Know What To Do,544684,543942,07/03/2026
killthislove.jpg,KILL THIS LOVE - EP,Kick It,267468,267217,07/03/2026
killthislove.jpg,KILL THIS LOVE - EP,Hope Not,124429,124249,07/03/2026
killthislove.jpg,KILL THIS LOVE - EP,DDU-DU DDU-DU (Remix),93951,93871,07/03/2026
squareup.jpg,SQUARE UP,DDU-DU DDU-DU,2118344,2116483,07/03/2026
squareup.jpg,SQUARE UP,Forever Young,677687,676941,07/03/2026
squareup.jpg,SQUARE UP,See U Later,283895,283455,07/03/2026
squareup.jpg,SQUARE UP,Really,181075,180828,07/03/2026
squaretwo.jpg,SQUARE TWO,PLAYING WITH FIRE,949667,,07/03/2026
squaretwo.jpg,SQUARE TWO,STAY,362697,,07/03/2026
squaretwo.jpg,SQUARE TWO,WHISTLE (Acoustic Ver.),24118,,07/03/2026
squareone.jpg,SQUARE ONE,WHISTLE,1107863,1107465,07/03/2026
squareone.jpg,SQUARE ONE,BOOMBAYAH,1804810,1786901,07/03/2026
asifitsyourlast.jpg,Others,AS IF IT'S YOUR LAST,1710603,1692322,07/03/2026
sourcandy.jpg,Others,Sour Candy - Lady Gaga & BLACKPINK,824524,,07/03/2026
thegirls.jpg,Others,THE GIRLS (BLACKPINK THE GAME OST),310642,,07/03/2026
kissandmakeup.jpg,Others,Kiss and Make Up - Dua Lipa & BLACKPINK,2730051,2722107,07/03/2026